Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/1987/sign-164-eating-disorders-v2.pdf,White,"[7, 53, 83, 85]"
https://www.sign.ac.uk/media/1987/sign-164-eating-disorders-v2.pdf,Black,[85]
https://www.sign.ac.uk/media/1913/20220117-eating-disorders-consultation-report.pdf,White,"[65, 80]"
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Irish Traveller,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Asian,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Indian,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Pakistani,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Bangladeshi,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Chinese,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Black,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,African,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Caribbean,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Black British,[16]
https://www.sign.ac.uk/media/1915/20220117-eating-disorders-search-narrative.pdf,Arab,[16]
https://www.sign.ac.uk/media/1916/20220117-eqia-sign-164-eating-disorders.pdf,White,[5]
https://www.sign.ac.uk/media/1922/sign-eating-disorders-service-user-engagement-workshop-report-final.pdf,White,[3]
https://www.sign.ac.uk/media/2411/sign-159-epilepsy-in-children-2026.pdf,White,"[95, 102]"
https://www.sign.ac.uk/media/2411/sign-159-epilepsy-in-children-2026.pdf,Asian,"[25, 26]"
https://www.sign.ac.uk/media/2411/sign-159-epilepsy-in-children-2026.pdf,Chinese,"[25, 26, 96]"
https://www.sign.ac.uk/media/2411/sign-159-epilepsy-in-children-2026.pdf,Black,"[59, 60]"
https://www.sign.ac.uk/media/2411/sign-159-epilepsy-in-children-2026.pdf,African,[95]
https://www.sign.ac.uk/media/1857/sign-159-consultation-feb-19-report.pdf,Black,[24]
https://www.sign.ac.uk/media/1858/sign-159-consultation-nov-18-report.pdf,Black,"[17, 28, 69]"
https://www.sign.ac.uk/media/1080/sign144.pdf,Asian,"[13, 14, 42]"
https://www.sign.ac.uk/media/1080/sign144.pdf,Indian,[17]
https://www.sign.ac.uk/media/1080/sign144.pdf,Chinese,"[17, 43]"
https://www.sign.ac.uk/media/1080/sign144.pdf,Black,[13]
https://www.sign.ac.uk/media/1080/sign144.pdf,African,"[17, 43]"
https://www.sign.ac.uk/media/1506/sign144_scoping_report.pdf,White,[9]
https://www.sign.ac.uk/media/1506/sign144_scoping_report.pdf,Asian,[3]
https://www.sign.ac.uk/media/1506/sign144_scoping_report.pdf,Black,[9]
https://www.sign.ac.uk/media/1506/sign144_scoping_report.pdf,African,"[2, 3, 9]"
https://www.sign.ac.uk/media/1499/lothian-sign-144-audit.pdf,White,[15]
https://www.sign.ac.uk/media/1070/sign132.pdf,White,[63]
https://www.sign.ac.uk/media/1070/sign132.pdf,Black,[67]
https://www.sign.ac.uk/media/1950/long-acting-burprenorphine-consensus-results-round-2.pdf,White,[36]
https://www.sign.ac.uk/media/1950/long-acting-burprenorphine-consensus-results-round-2.pdf,Black,[36]
https://www.sign.ac.uk/media/1083/sign147.pdf,African,[32]
https://www.sign.ac.uk/media/1476/qrg147.pdf,African,[10]
https://www.sign.ac.uk/media/2389/20251210-sign-chronic-pain-part-1.pdf,Black,[32]
https://www.sign.ac.uk/media/1054/sign116.pdf,White,"[76, 143, 150]"
https://www.sign.ac.uk/media/1054/sign116.pdf,Asian,"[56, 62, 84, 146]"
https://www.sign.ac.uk/media/1054/sign116.pdf,Chinese,"[67, 84, 118]"
https://www.sign.ac.uk/media/1054/sign116.pdf,Black,"[35, 56, 112, 141, 144, 145, 149]"
https://www.sign.ac.uk/media/1054/sign116.pdf,African,"[84, 137]"
https://www.sign.ac.uk/media/1054/sign116.pdf,Caribbean,[56]
https://www.sign.ac.uk/media/1054/sign116.pdf,Arab,[56]
https://www.sign.ac.uk/media/1090/sign154.pdf,White,[54]
https://www.sign.ac.uk/media/1445/qrg116-154-combined.pdf,Asian,"[5, 6]"
https://www.sign.ac.uk/media/1445/qrg116-154-combined.pdf,Black,[5]
https://www.sign.ac.uk/media/1447/sign116_cardiovascular-disease_register_of_interests.pdf,Black,[1]
https://www.sign.ac.uk/media/1451/sign116_kidney_register_of_interests.pdf,Black,[1]
https://www.sign.ac.uk/media/1453/sign116_open_reviewers.pdf,Black,[1]
https://www.sign.ac.uk/media/1449/sign116_diabetes_hsresign_may10.pdf,Asian,[61]
https://www.sign.ac.uk/media/1449/sign116_diabetes_hsresign_may10.pdf,Black,[61]
https://www.sign.ac.uk/media/1449/sign116_diabetes_hsresign_may10.pdf,Arab,[61]
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,White,"[30, 72]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,Asian,"[8, 20, 30, 31, 34, 36, 71, 73, 76]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,Indian,"[20, 30, 73, 76]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,Chinese,"[8, 17, 18, 71]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,Black,"[30, 32, 34]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,African,"[32, 75]"
https://www.sign.ac.uk/media/2205/sign-171-management-of-diabetes-in-pregnancy.pdf,Caribbean,"[32, 34]"
https://www.sign.ac.uk/media/2204/20240408-peer-review-consultation-report-final-formatted.pdf,White,[4]
https://www.sign.ac.uk/media/2204/20240408-peer-review-consultation-report-final-formatted.pdf,Asian,[31]
https://www.sign.ac.uk/media/2202/20240507-sign-171-search-narrative.pdf,White,[2]
